TIME,Brunei_Coef,Brunei_Cases,Indonesia_Coef,Indonesia_Cases,Malaysia_Coef,Malaysia_Cases,Philippines_Coef,Philippines_Cases,Singapore_Coef,Singapore_Cases,Thailand_Coef,Thailand_Cases,Vietnam_Coef,Vietnam_Cases
1,0.123481958,0.571428571,0.305853992,8073.714286,0.12107381,5751.285715,0.089183909,5719.285714,0.136164979,7.285714286,0.098695709,2768.285714,0.071774955,252.2857143
2,0.139438796,1,0.34514702,12128.28571,0.13670382,5502.285714,0.092385023,4384.571429,0.158644586,14.71428571,0.09986515,3148.857143,0.069839184,373.1428571
3,0.159255086,0.571428571,0.391278783,18793.28571,0.156001287,5451.428571,0.095477966,4281.285714,0.187293285,12.28571429,0.10138611,4078.142857,0.067701039,347.2857143
4,0.183535115,0.428571429,0.44242087,25404.42857,0.179609004,6520.428571,0.101787791,4023.428572,0.222397807,4,0.103893531,5625.714286,0.066202782,700.1428571
5,0.213221407,2.142857143,0.495586709,36257.28571,0.208059087,8510.857142,0.11137833,4464.142857,0.263966748,2.857142857,0.108262683,7970.571428,0.06624909,1585
6,0.248240975,0.857142857,0.541576269,49157.57142,0.241566589,11755.85714,0.126136152,4165.428571,0.31066324,68.71428571,0.115477368,10020.42857,0.068905738,3669.571429
7,0.288647886,7.142857143,0.583643412,40428.57143,0.279462664,14282.28571,0.148411824,4775.428571,0.360082226,146.5714286,0.126297521,13929.71429,0.075341206,6896
8,0.332659132,0.714285714,0.608309359,38295.28572,0.319648095,16803.42857,0.181141392,6553.285714,0.407811037,123.1428571,0.140696416,17229.42857,0.086049142,7895.857143
9,0.377042733,9.714285714,0.609097093,31991.42857,0.357827362,19016.42857,0.22678366,8992.857143,0.447044171,85.14285714,0.157315084,20403.42857,0.100279094,8270.571429
10,0.415235093,54.42857143,0.580312073,26428.28571,0.386949442,20640.42857,0.285244718,11130.57143,0.469406815,53.28571429,0.172360763,21743.71429,0.115153404,9124
11,0.437457316,155.1428571,0.52270963,16760.28571,0.398200823,21131.57143,0.350685454,12868.71429,0.467098912,45.85714286,0.180130535,19781.71428,0.125534542,10348.42857
12,0.436724815,109.7142857,0.443923272,12886.71429,0.385689436,21764,0.408528589,14280,0.436776477,120.7142857,0.174569189,17611,0.125322587,12327.85714
13,0.410192734,117.5714286,0.356312693,7738,0.349935197,19518.14286,0.439889806,17521.85714,0.384392162,201.5714286,0.153999402,14922.71429,0.110744884,12457
14,0.365360402,122.7142857,0.274296684,5239.285714,0.299790357,19058.85714,0.428857965,16894.85714,0.321580005,479.4285714,0.12317276,14319.14286,0.084867399,12446.42857
15,0.311920662,134,0.225000532,3226.714286,0.247618388,16608.57143,0.376593715,15490.85714,0.262586827,914.5714286,0.090743211,13490,0.064003406,10160
16,0.261220751,205.5714286,0.180810913,2386.857143,0.201945368,13833.14286,0.299352464,12698.71429,0.2153975,1537.857143,0.066659274,11820,0.036865823,10034.57143
17,0.216762479,172,0.150570961,1513.428571,0.167105838,10896.57143,0.219136789,8907.571429,0.182014095,2388,0.052793223,10773.71429,0.024975787,6347.285714
18,0.184855196,180.4285714,0.126239473,1171.285714,0.143538939,8632.571429,0.152441326,6454,0.160919202,3267.428571,0.044236591,10508.14286,0.026047296,4185.714286
19,0.164199778,268.5714286,0.11312209,940.1428571,0.129203574,7090.142857,0.106653691,4668.571428,0.148625657,3068.571429,0.040643174,10413.28571,0.032464559,3259.857143
20,0.151623151,191,0.103739617,712.5714286,0.120897972,5743.857143,0.080337734,3202,0.141637952,3576,0.043794508,9335,0.037498196,3609.428572
21,0.143242393,123.1428571,0.101240189,600.2857143,0.115605624,5649.714286,0.068259291,2005.714286,0.136946483,3569.714286,0.047131623,8718.857143,0.045533498,4869.142857
22,0.135678241,76.57142857,0.097843581,521.7142857,0.111283942,4907.714285,0.065003033,1724.571429,0.132520281,2846.428571,0.049308752,7914.571429,0.050956401,6988.285714
23,0.127986405,61.85714286,0.096785689,382.4285714,0.106968979,5740.285715,0.066967543,1009.857143,0.127559914,2630.857143,0.050225454,7023.142857,0.05404904,8181.285715
24,0.119826681,62.66666667,0.093306117,390.6666667,0.10236345,5805.166667,0.072231755,663.1666667,0.121900297,2144.833333,0.050212035,6638,0.055510374,9784.333333
25,0.111538424,61.14285714,0.089964717,360.1428571,0.097545036,5148.428571,0.07962986,472.5714286,0.115796628,1397,0.0496545,5793.857143,0.056045085,12596
26,0.103295092,20.57142857,0.085863138,243.5714286,0.09263568,4983.285714,0.088271134,331.4285714,0.10950866,898.2857143,0.048818829,4810.714286,0.056096232,14096.14286
27,0.095282334,25.42857143,0.08164456,205,0.087790307,4555.714285,0.097732243,221.1428572,0.103240407,532.2857143,0.047905771,3829,0.055849888,14803.42857
28,0.087749713,7.142857143,0.082039496,204.2857143,0.083149995,3745.142857,0.107532379,180.2857143,0.09726515,302.1428571,0.046979324,3144.142857,0.055500551,15152.85714
29,0.080662977,6.571428571,0.080324417,171.5714286,0.07883489,3175.285714,0.117428506,511.1428572,0.091736054,191,0.046126816,2622,0.055090479,15400.71429
30,0.074389712,6.857142857,0.076223089,222.2857143,0.074961573,3280.142857,0.127145444,9308.571428,0.086817419,179.4285714,0.045406602,2868.285714,0.054686667,14781.57143
